CODIGO,ALTERNO,NOMBRE,INVENTARIO
30783786611097,ATL35012,ZAPATA PONCHABLE BIMETALICA CAL 350 OJILLO DE 1/2,7
30783786611110,ATL402,Terminales a compresión 14 AWG a 1000 kcmil,295
30783786611189,ATL2502,Terminales a compresión 14 AWG a 1000 kcmil,53
30783786611196,ATL3002,"Terminal bimetálico barril largo,2 barrenos de 1/2, cal.300",61
30783786611219,ATL4002,"Terminal bimetálico barril largo, 2 barrenos de 1/2, cal.400",50
3245060376710,37671,"TERMINAL FERRUL NEGRO STARFIX CAL. 4, 25MM",24
3245060376772,37677,TERMINAL FERRUL COLOR ROJA CAL 2 LEGRAND STARFIX,806
33634,TCD800:5,TRANSFORMADOR DE CORRIENTE TIPO DONA MOD TCD11-800SO,3
33635,TCD1600:5,TRANSFORMADOR DE CORRIENTE TIPO DONA MOD TCD12-1600SO,3
3414971341906,31820,COLLARIN 10CM X 2.5 BCO LEGRAND,900
34520,JFD40:5,TRANSFORMADOR DE CORRIENTE TIPO DONA MOD. JFD 40:5,5
3471521230042,GHE3211102R0004,"ESB 20-20, 127 VCA",75
3471521230363,GHE3211102R3006,ESB20-20 220V 60Hz / 190V 50Hz,20
3471522010841,1SBH141001R8422,Obsoleto N22E 110V 50HZ/110,71
3471522032294,1SBL141201R2900,A9-40-00 140V 60HZ  obsoleto,4
3471522041807,1SBL161001R8001,A12-30-01 230-240V 6  obsoleto,2
3471522062802,1SBL241001R8010,A26-30-10 230-240V 6  obsoleto,12
3471522074867,1SBL281022R8610,UA30-30-10 400-415V 50Hz / 415-440V 60Hz,1
3471522081261,1SBL351001R2600,CONTACTOR TRIPOLAR A50-30-00 110V  obsoleto,1
3471522097569,1SBL411022R5600,UA75-30-00 550V 50Hz,3
3471522116833,1SBN151410R8306,Obsoleto ZA16 48V 60HZ BOBINA,5
3471522117861,1SBN152410R8606,Obsoleto ZA40 415-440V 60HZ B,22
3471522199324,1SBN081406R1000,BEA16/116,274
3471522199379,1SBN083206R1000,BEA40/450,18
3471522199393,1SBN084106R1000,BEA75/495,28
3471522199409,1SBN084506R1000,BEA110/495,35
3471522255303,1SBL411730R8011,DA75-20-11 220-230V50Hz / 230-240V60Hz,2
3471522282811,1SBL243001R8101,AL26-30-01 24V DC   obsoleto,3
3471522294814,1SBH143001R8140,Obsoleto CONTACTOR NL40E 24V,30
3471522302809,1SBL281024R8010,UA30-30-10RA 220-230V 50Hz / 230-240V 60Hz,29
3471522303844,1SBL351024R8400,UA50-30-00RA 110V 50Hz / 110-120V 60Hz,17
3471522640932,1SBV015951R3201,LS20P51B11-P01,5
3471523001169,1SBH101001R1631,NS31E-16 120V 60HZ,80
3471523101739,1SBH136001R2322,NFZ22E-23 100-250V50/60HZ-DC Contactor Relay,38
3471523101814,1SBH136001R2131,NFZ31E-21 24-60V50/60HZ 20-60VDC Contactor Relay,1
3471523110038,1SBL137001R1310,AF09-30-10-13 100-250V50/60HZ-DC Contactor,2
3471523113213,1SBL136001R2110,AF09Z-30-10-21 24-60V50/60HZ 20-60VDC Contactor,143
3471523130043,1SBN010120R1011,CAL4-11 Auxiliary Contact Block,54
3471523130739,1SBN081306T1000,BEA16-4 Connecting Link with Manual Motor Starter,1200
3471523130746,1SBN082306T1000,BEA26-4 Connecting Link with Manual Motor Starter,96
3472591151664,1SNA115166R1100,M4/6.D1 Screw Clamp Terminal Blocks - Double deck - Grey,5
3472591165913,1SNA116591R0500,FEMS6D tapa final Grey,56
3472591500004,1SNK150000R0000,MC612 ETIQUETAS,628
3472591990928,1SNA199092R1000,D2.5/8.ADO,199
3472591991871,1SNA199187R1400,D2.5/8.SFLT.ADO2 IDC Terminal Blocks,91
3472591994179,1SNA199417R1200,FED2AD1 tapa final Grey,9
3472591998795,1SNA199879R0100,FEM4AP End Section - Green,10
3472592350936,1SNA235093R1400,WMTT12 Wire Markers,96
3472592902319,1SNA290231R0600,DS2.5/10.4L mini-clema Resorte - Grey,1956
3472592902937,1SNA290293R0500,D10/10.N.2L Spring Terminal Blocks,125
3472592902999,1SNA290299R1300,D10/10.P.2L Spring Terminal Blocks,76
3472592913018,1SNA291301R0200,FED1.L tapa final Grey,10
3472593562086,1SNA356208R2500,BRU80AL BLOQUE DISTRIBUCION 1polo 80A/1000Vca/1500Vcd,85
3472594007319,1SNA400731R0200,DL16/17.5.SFL.CC.1 Screw Clamp Terminal Blocks,208
3605340358216,M320079C,NH000UD50V315PV,2
4001869056401,3NA3260,FUSIBLE SIEMENS TAMAÑO 02 PARA 400AMP,9
4001869056623,3NA3372,FUSIBLE SIEMENS TAMAÑO 03 PARA 630AMP,9
4012233634804,GHS2810164R0277,S281-UC K2A,24
4012233745,GHV0360875R0042,SZ-KS18/56N,104
4013614214332,GHE3491302R0006,ESB40-22-230AC/DC Inst.-contactor 2NO2NC,3
4013614216596,1SAZ211201R1040,Obsoleto RELEV TERMI DE SOBRE TA25DU 6.0-8.5A,4
4013614216626,1SAZ211201R1047,Obsoleto RELEV TERMI DE SOBRECA TA25DU 13-19A,10
4013614216633,1SAZ211201R1051,Obsoleto RELEV TERMI DE SOBRECA TA25DU 18-25A,14
4013614216640,1SAZ211201R1053,Obsoleto RELEV TERMI DE SOBRECA TA25DU 24-32A,4
4013614216718,1SAZ321201R1003,Obsoleto RELEV TERMI DE SOBRECA TA75DU 29-42A,10
4013614216732,1SAZ321201R1005,Obsoleto RELEV TERMI DE SOBRECA TA75DU 45-63A,6
4013614216749,1SAZ321201R1006,Obsoleto RELEV TERMI DE SOBRECA TA75DU 60-80A,7
4013614286032,1SAZ421201R1003,TA200DU-135 Thermal Overload Relay,2
4013614286049,1SAZ421201R1004,TA200DU-150 Thermal Overload Relay,1
4013614286087,1SAZ511201R1003,TA450DU-310 Thermal Overload Relay,4
4013614286094,1SAZ511201R1002,TA450DU-235 Thermal Overload Relay,2
4013614320248,1SAM250000R1001,MS116-0.16 Manual Motor Starter,5
4013614320255,1SAM250000R1002,MS116-0.25 Manual Motor Starter,5
4013614320262,1SAM250000R1003,MS116-0.4 Manual Motor Starter,6
4013614320279,1SAM250000R1004,MS116-0.63 Manual Motor Starter,5
4013614320286,1SAM250000R1005,MS116-1.0 Manual Motor Starter,11
4013614320293,1SAM250000R1006,MS116-1.6 Manual Motor Starter,44
4013614320309,1SAM250000R1007,MS116-2.5 Manual Motor Starter,51
4013614320330,1SAM250000R1010,MS116-10 Manual Motor Starter,6
4013614372919,1SVR405600R1000,CR-P024DC1 Relevador PCB Alimentación 24 Vcd,8
4013614373039,1SVR405601R7000,CR-P110AC2 Relevador PCB Alimentación 110 Vca,1
4013614373084,1SVR405650R1000,CR-PSS base standar p/relé for 1c/o or 2c/o CR-P relays,12
4013614373268,1SVR405611R7100,CR-M110AC2L Relevador interface 2c/o bobina 110Vca output12A,67
4013614373282,1SVR405611R2100,CR-M120AC2L Relevador interface 2c/o bobina 120Vca output12A,31
4013614373466,1SVR405612R2100,CR-M120AC3L Relevador interface 3c/o bobina 120Vca output10A,9
4013614373527,1SVR405613R6000,"CR-M048DC4 Relevador interface 4c/o, bobina 48Vcd, output 6A",1
4013614373534,1SVR405613R7000,CR-M110AC4 Relevador encapsulado Mini Alimentación 110 Vca,72
4013614373589,1SVR405613R0100,"CR-M024AC4L Relevador encapsulado Mini, Alimentación 24Vca",1
4013614373763,1SVR405651R2100,CR-M3LS base p/accs  p/relé for 3c/o CR-M relay,41
4013614373800,1SVR405651R3000,CR-M4SS base standar p/relé for 2c/o or 4c/o CR-M relay,31
4013614374159,1SVR405621R2100,"CR-U120AC2L Relevador interface 2c/o, bobina 120Vca",4
4013614376603,1SAZ211401R1051,Obsoleto TA25DU-25-20 THERM,3
4013614385292,1SVR405612R8200,CR-M125DC3 Relevador interface 3c/o bobina 125Vcd output 10A,212
4013614385315,1SVR405613R8200,"CR-M125DC4 Relevador interface 4c/o, bobina 125Vcd, output6A",23
4013614390210,1SVR440899R7000,CL-LAD.MD004  Módulo de memoria 32 kb para relevador lógico,2
4013614398056,1SAZ721201R1025,TF42-1.3 Thermal Overload Relay,12
4013614398070,1SAZ721201R1031,TF42-2.3 Thermal Overload Relay,7
4013614398131,1SAZ721201R1045,TF42-13 Thermal Overload Relay,2
4013614398155,1SAZ721201R1051,TF42-24 Thermal Overload Relay,2
4013614403972,1SAX221001R1102,EF45-45 Electronic Overload Relay,3
4013614404016,1SAX121001R1104,EF19-6.3 Electronic Overload Relay,22
4013614404023,1SAX121001R1105,EF19-18.9 Electronic Overload Relay,5
4013614409813,1SAM101923R0002,MSMN Driver w. screw,211
4013614410970,GJH1213001R0401,KC6-40E-01 Mini Contactor Relay,1
4013614420252,GHE3261101R0006,"EN 24-40, 230 VCA/CD",65
4013614420320,GHE3291102R0004,"ESB 24-40, 120 VCA/CD",34
4013614420535,GHE3291202R0006,ESB24-04-230AC/DC Inst.-contactor 4NC,1280
4013614420627,GHE3291302R0004,"ESB24-22, 110-120 VCA/CD",15
4013614420917,GHE3401321R0001,EH04-20,90
4013614420962,GHE3421101R0004,"EN 40-40, 110 VCA/CD",17
4013614421082,GHE3491102R0004,"ESB 40-40, 120 VCA/CD",83
4013614421310,GHE3691102R0004,"ESB 63-40, 120 VCA/CD",5
4013614421464,GHE3691402R0006,ESB63-20-230AC/DC Inst.-contactor 2NO,168
4013614421624,1SAM201911R1011,"IB132-Y Enclosure, RD/YE, IP65",10
4013614421655,1SAM201912R1011,"DMS132-Y Door Mounting Kit, RD/YE, IP65",34
4013614433023,2CDS272061R0204,S202M-C20UC,20
4013614446825,1SAZ431201R1002,TF140DU-110 Thermal Overload Relay,2
4013614481499,1SAM201903R1001,SK1-11 Signal Contact,5
4013614482939,1SAZ811201R1003,TF65-40 Thermal Overload Relay,4
4013614482977,1SAZ811201R1007,TF65-67 Thermal Overload Relay,2
4013614498701,1SVR405622R7000,CR-U110AC3 Relevador Universal Alimentación 110 Vca,10
4016779225304,GHS2820164R0044,S282UCC4,10
4016779463508,2CDL231001R1009,PS3/9,3
4016779463607,2CDL231001R1012,PS3/12,55
4016779464406,2CDS251001R0164,"S201-C16, 480VCA, 6kA",2230
4016779464505,2CDS251001R0204,"S201-C20, 480VCA, 6kA",282
4016779464604,2CDS251001R0254,"S201-C25, 480VCA, 6kA",11
4016779464703,2CDS251001R0324,"S201-C32, 480VCA, 6kA",35
4016779464802,2CDS251001R0404,"S201-C40, 480VCA, 6kA",27
4016779466004,2CDS252001R0204,"S202-C20 480VCA, 6KA",1
4016779467209,2CDS252001R0325,S202-B32,5
4016779468008,2CDS253001R0164,"S203-C16, 480VCA, 6kA",51
4016779468107,2CDS253001R0204,"S203-C20, 480VCA, 6kA",25
4016779468206,2CDS253001R0254,"S203-C25, 480VCA, 6kA",33
4016779468305,2CDS253001R0324,"S203-C32, 480VCA, 6kA",19
4016779496162,2CDS253001R0537,"S203-K32, 480VCA, 6kA",1
4016779507226,2CDS251001R0277,"S201-K2, 480VCA, 6kA",6
4016779507394,2CDS252001R0427,"S202-K10, 480VCA, 6kA",3
4016779507523,2CDS253001R0377,"S203-K6, 480VCA, 6kA",1
4016779507561,2CDS253001R0517,"S203-K25, 480VCA, 6kA",28
4016779514668,2CDL210001R1060,PS1/60,89
4016779514729,2CDL200001R0001,"Tapas Finales, Tipo PS-END",395
4016779523295,2CDS251001R0984,"S201-C0.5, 480VCA, 6kA",574
4016779523301,2CDS251001R0974,"S201-C1.6, 480VCA, 6kA",17
4016779523318,2CDS251001R0014,"S201-C1, 480VCA, 6kA",22
4016779523325,2CDS251001R0024,"S201-C2, 480VCA, 6kA",35
4016779523349,2CDS251001R0044,"S201-C4, 480VCA, 6kA",2
4016779523363,2CDS252001R0014,"S202-C1, 480VCA, 6kA",65
4016779523387,2CDS252001R0024,"S202-C2, 480VCA, 6kA",32
4016779529174,2CDS254001R0064,"S204-C6, 480VCA, 6kA",6
4016779529259,2CDS254001R0404,S204-C40,3
4016779529365,2CDS254001R0467,S204-K16,1
4016779530330,2CDS251001R0218,S201-Z1,56
4016779530347,2CDS251001R0258,"S201-Z1,6",7
4016779530354,2CDS251001R0278,"S201-Z2, 480VCA, 6kA",6
4016779530378,2CDS251001R0338,"S201-Z4, 480VCA, 6kA",20
4016779530408,2CDS251001R0378,S201-Z6,19
4016779530422,2CDS251001R0428,"S201-Z10, 480VCA, 6kA",70
4016779530453,2CDS251001R0518,S201-Z25,4
4016779530460,2CDS251001R0538,S201-Z32,33
4016779530767,2CDS252001R0468,"S202-Z16, 480VCA, 6kA",34
4016779530774,2CDS252001R0488,"S202-Z20, 480VCA, 6kA",68
4016779530781,2CDS252001R0518,"S202-Z25, 480VCA, 6kA",105
4016779530798,2CDS252001R0538,S202-Z32,67
4016779531061,2CDS253001R0468,S203-Z16,19
4016779531078,2CDS253001R0488,S203-Z20,10
4016779531108,2CDS253001R0558,S203-Z40,1
4016779531757,2CDS251103R0104,"S201-C10NA, 480VCA, 6kA",113
4016779531771,2CDS251103R0164,"S201-C16NA, 480VCA, 6kA",263
4016779531788,2CDS251103R0204,"S201-C20NA, 480VCA, 6kA",1
4016779531801,2CDS251103R0324,"S201-C32NA, 480VCA, 6kA",83
4016779531818,2CDS251103R0404,S201-C40NA,18
4016779531863,2CDS251103R0317,S201-K3NA,363
4016779543934,2CDS271001R0504,S201M-C50,20
4016779543941,2CDS271001R0634,S201M-C63,20
4016779543989,2CDS272001R0634,S202M-C63,20
4016779543996,2CDS273001R0504,S203M-C50,5
4016779549431,2CDS271001R0105,S201M-B10,19
4016779549981,2CDS271001R0104,S201M-C10,8
4016779550000,2CDS271001R0164,S201M-C16,70
4016779550031,2CDS271001R0324,S201M-C32,40
4016779550048,2CDS271001R0404,S201M-C40,30
4016779550154,2CDS271103R0164,S201M-C16NA,40
4016779550253,2CDS272001R0044,S202M-C4,684
4016779550307,2CDS272001R0164,S202M-C16,75
4016779550314,2CDS272001R0204,S202M-C20,99
4016779550321,2CDS272001R0254,S202M-C25,20
4016779550338,2CDS272001R0324,S202M-C32,35
4016779550345,2CDS272001R0404,S202M-C40,20
4016779550406,2CDS273001R0044,S203M-C4,1
4016779550451,2CDS273001R0164,S203M-C16,10
4016779551045,2CDS252001R0504,"S202-C50, 480VCA, 6kA",20
4016779551052,2CDS252001R0634,"S202-C63, 480VCA, 6kA",20
4016779551069,2CDS253001R0504,"S203-C50, 480VCA, 6kA",4
4016779551175,2CDS252001R0607,"S202-K63, 480VCA, 6kA",30
4016779551199,2CDS253001R0607,"S203-K63, 480VCA, 6kA",1
4016779551953,2CDS253001R0578,"S203-Z50, 480VCA, 6kA",1
4016779590273,2CDS281001R0164,S201P-C16,10
4016779590297,2CDS281001R0254,S201P-C25,9
4016779590440,2CDS282001R0164,S202P-C16,26
4016779590457,2CDS282001R0204,S202P-C20,30
4016779590464,2CDS282001R0254,S202P-C25,34
4016779590471,2CDS282001R0324,S202P-C32,13
4016779590488,2CDS282001R0404,S202P-C40,20
4016779590495,2CDS282001R0504,S202P-C50,20
4016779590501,2CDS282001R0634,S202P-C63,20
4016779590594,2CDS283001R0104,S203P-C10,4
4016779590662,2CDS283001R0504,S203P-C50,19
4016779590761,2CDS284001R0104,S204P-C10,8
4016779590952,2CDS281103R0164,S201P-C16NA,30
4016779590983,2CDS281103R0324,S201P-C32NA,15
4016779596107,2CDS282001R0024,S202P-C2,14
4016779597111,2CDS283001R0164,S203P-C16,4
4016779597616,2CDS283001R0634,S203P-C63,36
4016779599573,2CDS271001R0337,S201M-K4,20
4016779599597,2CDS271001R0377,S201M-K6,19
4016779600187,2CDS271103R0467,S201M-K16NA,20
4016779600712,2CDS272001R0467,S202M-K16,20
4016779600736,2CDS272001R0487,S202M-K20,10
4016779605793,2CDS272001R0504,S202M-C50,22
4016779605984,2CDS273001R0204,S203M-C20,2
4016779606028,2CDS273001R0324,S203M-C32,9
4016779606042,2CDS273001R0404,S203M-C40,4
4016779606080,2CDS273001R0634,S203M-C63,6
4016779608985,2CDS253001R0014,"S203-C1, 480VCA, 6kA",30
4016779609043,2CDS253001R0044,"S203-C4, 480VCA, 6kA",1
4016779609388,2CDS253001R0337,"S203-K4, 480VCA, 6kA",12
4016779609432,2CDS253001R0404,"S203-C40, 480VCA, 6kA",8
4016779609524,2CDS253001R0487,"S203-K20, 480VCA, 6kA",5
4016779609685,2CDS253001R0634,"S203-C63, 480VCA, 6kA",8
4016779610735,2CDS254001R0164,"S204-C16, 480VCA, 6kA",17
4016779616256,S203UPK15,S200UP 10KA 3P,144
4016779619318,S201UK5,S200U 10KA 1P,20
4016779619387,S201UK20,MCB. S200U. 10KA. 1P CAT.  S201UK20 ABB,131
4016779619882,S203UK30,S200U 10KA 3P,3
4016779631945,2CDS231001R0104,"SH201T-C10, 440VCA, 3kA",10
4016779632041,2CDS231001R0324,"SH201T-C32, 440VCA, 3kA",7
4016779645119,2CDS251001R0357,"S201-K5, 480VCA, 6kA",136
4016779645133,2CDS251001R0457,S201-K15,5
4016779645164,2CDS252001R0457,S202-K15,8
4016779645317,2CDS253001R0357,S203-K5,2
4016779662376,1SVR427056R0000,CP-T 24/20 Fuente de poder Trifasica 350-500Vca/24Vcd20A480W,4
4016779764988,1SAZ721201R1052,TF42-29 Thermal Overload Relay,1
4016779825191,2CDS272517R0337,S202UDC-K4,5
4016779878678,1SAP120600R0001,PLC PM554-TP 128 8 / 6 /  /  Transistor - 24 VDC,2
4016779916424,2CDS254001R0804,S204-C80,1
4016779916684,2CDS252001R0824,S202-C100,4
4016779917704,2CDS253001R0804,S203-C80,3
4016779917728,2CDS253001R0824,S203-C100,7
4016779917889,2CDS254001R0824,S204-C100,3
4034656520625,ONU2PB,ONU2PB - 1SCA022532R7400,13
4034656521615,OMSO52PB,OMSO52PB - 1SCA022533R3980,2
4034656522469,1SCA022404R4740,EL-MCV-4,2
5027590252294,170M1568,fusible ultra rapido bussman,12
50783786693851,AL750NTN,ZAPATA PONCHABLE  HOMAC CU/AL CAL 750 MCM 2 OJILLOS CAT.AL75,82
5350035416679,RGS1A23A25KKE,RELEVADOR DE ESTADO SOLIDO 25A,12
5410779172207,2GCA291722A0050,CONTROLADOR RVT2-12 EP PARA BANCO DE CAPACITORES,14
5414363110859,7TAH007510R0016,COPLE PONCHABLE CAL.500KCM,54
6221115048396,1SKA148000C1001,Protecta kit mini-interruptor,118
6221115487249,1SKA141568C3001,Protecta Kit XT1,7
6417019019987,OT160E3,OT160E3,11
6417019123424,OTS125T3,"CubreBornes transparente para OTM-Mini, 3 polos, hasta 125A",5
6417019124117,OHB65J6,Manija Pistol 65mm ON-OFF negra/roja para OT40...125F,2
6417019124230,OHB95J12,Manija Pistol 95mm negra/roja,5
6417019124872,OHB65J6E011,Manija Pistol 65mm 1-0-2 negra/roja para OT16...125F3C,1
6417019131221,OTP63BA3M,"63 Amps, Seccionador en Gabinete Plástico OTP, IP65",76
6417019148847,OHG45H9K,Manija Gris,1
6417019148854,OHG65H9K,Manija Gris,1
6417019160702,OS60J12,SECCIONADOR FUSIBLE,14
6417019183220,OTR45B3M,"Seccionador en Gabinete Acero Inoxidable. 45A, max 500V",1
6417019205786,OFAF1H100,"Fusible 100A Tamaño Din 1 Tipo gG/500V, 120kA",2
6417019206004,OFAF2H300,"Fusible 300A Tamaño Din 2 Tipo gG/500V, 120kA",6
6417019206011,OFAF2H315,"Fusible 315A Tamaño Din 2 Tipo gG/500V, 120kA",10
6417019206127,OFAF3H355,"Fusible 355A Tamaño Din 3 Tipo gG/500V, 120kA",2
6417019206165,OFAF3H500,"Fusible 500A Tamaño Din 3 Tipo gG/500V, 120kA",1
6417019213231,OFAA000GG40,"Fusible 40A Tamaño Din 000* Tipo gG/690V, 120kA",2
6417019223773,OFAA00GG80,"Fusible 80A Tamaño Din 00* Tipo gG/690V, 120kA",88
6417019225920,OT200U03P,OT200U03P - 1SCA022709R9920,1
6417019282558,1SCA022824R0230,EOT100U3M3-P ENCLOSED DISCONNECT SWITCH,5
6417019283548,OS630D12P,OS630D12P - 1SCA022825R3810,2
6417019296623,OTM250E3CM24D,OTM250E3CM24D MOTORIZED C/O SWITCH,2
6417019389554,OT16F3,OT16F3 - 1SCA104811R1001,6
6417019390000,OT25F3,OT25F3 - 1SCA104857R1001,24
6417019390451,OT40F3,OT40F3 - 1SCA104902R1001,5
6417019391359,OT100F3,OT100F3 - 1SCA105004R1001,24
6417019391908,OT125FT3,OT125FT3 - 1SCA105060R1001,6
6417019391984,OT30F3,OT30F3 - 1SCA105068R1001,1
6417019397016,OT80F3,OT80F3 - 1SCA105798R1001,5
6417019411668,OHBS2RJ,Manija Selector IP65 para OT16FT&125FT Negro/rojo,28
6417019411682,OHBS3AH,Manija Selector IP54 para OT16&125F,22
6417019412276,OHYS2AJ1,"Manija Selector IP65 para OT16&125F, color amarilla/rojo",278
6417019412450,OHYS3AH,Manija Selector tamaño 2 amarilla/roja,17
6417019416151,OHBS12,Manija Selector tamaño 1 negra,9
6417019420998,OS30FAJ12P,Seccionador Portafusible 30A para Fusible Americano Tipo J,1
6417019467986,OS32GD12P,OS32GD12P - 1SCA114581R1001,77
6417019516837,OTM80F3CMA230V,"Transferencia OTM mini Motorizada 80A, de seccionadores 0+0,",13
6417019544762,OTDC250E11P,OTDC250E11P - 1SCA123702R1001,1
6417019602332,OHF1C4,Manija especial,1
662019160719,1SNA892461R1500,polarizado p/ colocar en riel DIN,27
662019287171,1SNA290488R0100,"BJ 612-10 Jumper bar, 10 poles, for R600",78
6943747170770,1TNE968903R0203,TA571-SIM Digital input simulator,1
7320500202128,1SFA616070R1134,"KL70-113L Módulo torreta, azul",4
7320500202135,1SFA616070R1138,"KL70-113C Módulo torreta, claro",10
7320500202173,1SFA616070R3224,LIGHT ELEMENT#KL70-322L,3
7320500202227,1SFA616070R1234,LIGHT ELEMENT#KL70-123L,10
7320500202258,1SFA616070R3022,KL70-302 G LUZ PERMA,4
7320500202272,1SFA616070R3024,LIGHT ELEMENT#KL70-302L,11
7320500202623,1SFA616077R1013,KA70-1013 Base para tubo,106
7320500202630,1SFA616077R1021,KA70-1021 Tubo,4
7320500202739,1SFA616080R1232,KSB-123G Faro de señalización,3
7320500202746,1SFA616080R1233,KSB-123Y Faro de señalización,7
7320500202784,1SFA616080R2032,KSB-203G Faro de señalización,8
7320500202791,1SFA616080R2033,KSB-203Y Faro de señalización,8
7320500202876,1SFA616080R3063,KSB-306Y Faro de señalización,49
7320500204221,1SFA616950R1001,KTR1-1001 Transformador,3
7320500207819,1SFN155110R8406,OPERATING COIL#ZA300#110V 50Hz,2
7320500215319,1SFN165110R1000,ARC CHUTES#ZW300,28
7320500222256,1SFN086104R1000,INTERCONN. BAR#BES750-30,4
7320500227220,1SFN076107R1000,TERMINAL ENLARG#LW750,10
7320500239384,1SFA616070R3068,KL70-306C Módulo torreta,10
7320500240823,1SFA619100R1025,CP1-10W-20 Botón pulsador,50
7320500242896,1SFA619102R1022,CP3-10G-20 Botón pulsador,67
7320500260975,1SFA611100R1001,MP1-10R Botón pulsador rojo,35
7320500260982,1SFA611100R1002,MP1-10G Botón pulsador verde,49
7320500266724,1SFA611101R1103,MP2-11Y Botón pulsador,11
7320500268049,1SFA611102R1104,MP3-11L Botón pulsador azul,46
7320500274866,1SFA611124R1001,MPM1-10R Botón pulsador tipo Hongo rojo,9
7320500276693,1SFA611130R1106,MPD1-11B Botón doble rojo-verde,140
7320500283295,1SFA611200R1001,M2SS1-10R Switch selector,2
7320500283325,1SFA611200R1101,M2SS1-11R Switch selector rojo,37
7320500290019,1SFA611204R1001,M2SS5-10R Switch selector,7
7320500290033,1SFA611204R1007,M2SS5-10U Switch selector,10
7320500294581,1SFA611211R1006,M3SS2-10B Switch selector negro 3 pos,70
7320500296974,1SFA611213R1001,M3SS4-10R Switch selector,34
7320500296998,1SFA611213R1007,M3SS4-10U Switch selector,7
7320500301562,1SFA611221R1006,M2SSV2-10B Switch selector,180
7320500306161,1SFA611400R1002,ML1-100G Luz piloto verde,36
7320500306178,1SFA611400R1003,ML1-100Y Luz piloto amarillo,178
7320500307021,1SFA611510R1001,MPMT3-10R Paro de emergencia,6
7320500308233,1SFA611301R1006,MTS2-10B Switch selector Toggle,9
7320500308837,1SFA619552R1071,CE4K1-10R-11 Paro de emergencia,72
7320500375693,1SFA611701R6006,MJS1-60B Botón Joystick,18
7320500375730,1SFA611705R6006,MJS5-60B Botón Joystick,33
7320500375747,1SFA611706R6006,MJS6-60B Botón Joystick,4
7320500375754,1SFA611707R6006,MJS7-60B Joystick,48
7320500375761,1SFA611708R6006,MJS8-60B Joystick,30
7320500375792,1SFA611711R6006,MJS11-60B Joystick,81
7320500375808,1SFA611712R6006,MJS12-60B Joystick,24
7320500376409,1SFA619126R1072,CPM3-10G-11 Botón hongo-pulsador verde,9
7320500376416,1SFA619126R1073,CPM3-10Y-11 Botón hongo-pulsador amarillo,5
7320500400609,1SFA897102R7000,SOFTSTARTER PSE25-600-70,7
7320500400623,1SFA897104R7000,SOFTSTARTER PSE37-600-70,1
7320500400630,1SFA897105R7000,SOFTSTARTER PSE45-600-70,2
7320500400647,1SFA897106R7000,SOFTSTARTER PSE60-600-70,3
